Title                    Available  Rented  
Arrival                          4       0       
Avengers: End Game               0       1       
Beauty and the Beast             2       2       
Captain America: Civil War       0       1       
Doctor Strange                   2       4       
Inception                        1       3       
Kingdom Under Heaven             5       3       
Lilo and Stitch                  0       1       
Passengers                       4       4       
Spartacus                        1       5       
Straight Outta Compton           3       0       
Test                             4       0       
The Departed                     0       1       
